"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod","type"
"225","26a6d8a3-889b-43c1-a816-f010759ee99f","on","federated","as_needed","provincial","2021-02-10T19:46:07.667587","2021-03-03T08:00:23.353614","dataset"
"226","26dc6d57-58af-4b94-9eee-e641922bf7a7","statcan","primary","as_needed","federal","2020-04-29T12:39:46.192154","2020-11-27T20:35:23.216833","dataset"
"227","26ffad36-ca9b-431c-8f6d-a6df02665e2c","psc-cfp","primary","P3M","federal","2021-03-29T15:20:53.308231","2021-03-29T20:50:52.421980","dataset"
"228","273e0c22-21b6-4065-9223-40167c56a5aa","statcan","primary","P1Y","federal","2020-05-14T12:38:11.521991","2020-09-18T12:50:26.297367","dataset"
"229","274f8e6c-a5ce-4ac3-b893-6ded1ea52b6c","qc","federated","irregular","municipal","2020-09-11T14:37:37.040161","2021-02-01T14:30:16.951000","dataset"
"230","27686a85-d4e0-42a2-a0e1-461e21b910e3","qc","federated","P1Y","provincial","2020-09-11T14:37:45.852656","2021-02-01T14:30:18.893004","dataset"
"231","276886d5-b89d-4dda-9cb4-63d38892a5e1","statcan","primary","P1Y","federal","2020-06-25T12:38:25.091058","2020-06-26T12:38:31.357002","dataset"
"232","2789f33a-b27e-4d03-b4a3-6f5fdb9f30ef","on","federated","unknown","provincial","2021-01-27T15:52:51.311871","2021-01-28T16:47:44.764424","dataset"
"233","27a5ae15-1a0c-4541-8a5d-c8d27cede711","statcan","primary","as_needed","federal","2021-03-05T13:39:26.531547","2021-03-08T13:41:23.991123","dataset"
"234","2819a18a-4086-48ff-ad4c-35b5d638a2d8","on","federated","as_needed","provincial","2021-01-27T15:52:58.279392","2021-01-28T16:47:46.215271","dataset"
"235","2828e91d-e395-48b3-8127-c4ee76b2c33c","cra-arc","primary","P1Y","federal","2020-12-07T21:51:09.793381","2020-12-07T21:51:09.793387","dataset"
"236","28294363-463e-4d2e-ad68-7d0a37ec0b0a","qc","federated","P1Y","municipal","2020-09-11T14:37:58.465491","2021-02-01T14:30:22.324091","dataset"
"237","282a8273-5f96-43ed-b2b6-153e93edb6fc","statcan","primary","as_needed","federal","2020-07-14T12:38:33.112987","2020-11-27T20:31:21.724854","dataset"
"238","28cb8c7d-2491-4232-9f85-04528748ee67","qc","federated","P2Y","provincial","2020-09-11T14:38:08.724193","2021-02-01T14:30:24.123921","dataset"
"239","28e6e3bd-03b1-4977-b5eb-d8b0f7f3aa73","on","federated","as_needed","provincial","2021-01-27T15:53:05.294220","2021-01-28T16:47:48.219794","dataset"
"240","2955a20b-b64e-4b90-a6d6-4efc1f0e8408","qc","federated","P1Y","provincial","2020-09-11T14:38:18.171489","2021-02-01T14:30:25.800271","dataset"
"241","2980db3a-9eb4-4c0e-b7c6-a6584cb769c9","qc","federated","irregular","municipal","2020-09-11T14:38:27.339739","2021-02-01T14:30:27.320003","dataset"
"242","298c15b2-a874-4904-9166-3de1999b28f0","qc","federated","P1M","municipal","2020-09-11T14:38:36.720767","2021-02-01T14:30:28.723903","dataset"
"243","2994b3fb-a741-494c-9720-62a14882f475","statcan","primary","as_needed","federal","2020-12-17T13:38:53.466617","2021-03-29T12:43:06.116719","dataset"
"244","29a55543-3e27-4d7a-8ce5-7b669305b2d8","on","federated","P1Y","provincial","2021-01-27T15:53:12.763313","2021-01-28T16:47:49.980798","dataset"
"245","29d4fb07-c9bf-4324-abec-d4241958cbc4","on","federated","P1Y","provincial","2021-01-27T15:53:19.622760","2021-01-28T16:47:51.857467","dataset"
"246","2a399ab0-e088-46a5-9ff2-8ca3632e5da0","qc","federated","P1Y","provincial","2020-09-11T14:38:49.591800","2021-02-01T14:30:30.308175","dataset"
"247","2a3e2f37-6fc4-486d-8fa6-2ae3ffc43f2e","csec-cstc","primary","P1Y","federal","2020-12-23T21:12:46.432883","2021-01-25T21:11:17.407769","dataset"
"248","2a9afe71-25f4-4bd8-a7c2-6d70bb1f7196","on","federated","P1Y","provincial","2021-01-27T15:53:26.464329","2021-01-28T16:47:53.928430","dataset"
"249","2aa41a43-a289-411c-a742-8cfd342ec412","qc","federated","P1M","municipal","2020-09-23T18:24:03.741509","2021-03-10T10:00:47.414377","dataset"
"250","2ae0a7b5-8655-42ff-8339-0b757bf9394c","on","federated","P1Y","provincial","2021-01-27T15:53:33.521540","2021-01-28T16:47:55.566155","dataset"
"251","2af1a7f4-431e-41c7-8c67-fe2348ccf031","dfatd-maecd","primary","P1M","federal","2020-12-23T19:22:49.226422","2021-03-02T13:21:33.586324","dataset"
"252","2b00368e-22e7-466d-ac6f-b13e58cca68f","qc","federated","not_planned","municipal","2020-11-19T14:23:05.741742","2021-02-01T14:30:33.528860","dataset"
"253","2b508cd7-8844-4230-9f5e-e148606ff6df","qc","federated","P1W","provincial","2020-09-11T14:39:09.245940","2021-03-24T10:00:47.482741","dataset"
"254","2b7dcae7-a3e5-4f5d-81de-ccde2c518e55","qc","federated","P1Y","municipal","2020-09-11T14:39:19.651981","2021-02-24T10:00:25.092360","dataset"
"255","2b90a0be-250f-4b8c-b27d-25dad7d01895","cfia-acia","primary","as_needed","federal","2021-03-24T13:20:45.898944","2021-03-25T13:40:13.200402","dataset"
"256","2b945a95-e65e-4cf4-8792-b73e291c0919","qc","federated","P1Y","provincial","2020-09-11T14:39:30.421332","2021-03-10T10:00:51.076645","dataset"
"257","2b9b0bc8-455e-40f8-8172-64bb080ac22a","on","federated","P1Y","provincial","2021-01-27T15:53:40.135678","2021-01-28T16:47:57.021527","dataset"
"258","2bdc0236-fbd9-4f47-bcbb-aa6d995c5683","qc","federated","P1M","municipal","2020-09-11T14:39:40.418794","2021-03-24T10:00:49.630545","dataset"
"259","2c1717e8-c742-4ecd-8266-0a823851fdd2","ec","primary","as_needed","federal","2020-06-08T18:20:55.515201","2020-06-08T18:20:55.515211","dataset"
"260","2c2584d7-c4da-4037-a5c2-79b8cc1d21e2","on","federated","not_planned","provincial","2021-01-27T15:53:46.975477","2021-01-28T16:47:58.965208","dataset"
"261","2c30e366-ef2b-400e-8363-0b13e4a7b6f4","drdc-rddc","primary","not_planned","federal","2021-02-01T15:50:47.068248","2021-03-18T14:41:12.015335","dataset"
"262","2c890af8-1c19-44a6-bfac-753514a9ec9d","qc","federated","as_needed","provincial","2020-09-11T14:39:50.404336","2021-02-01T14:30:45.917491","dataset"
"263","2c8b0ab9-1b75-4512-92b2-db8fe17e3f03","on","federated","unknown","provincial","2021-01-27T15:53:53.918117","2021-01-28T16:48:00.902178","dataset"
"264","2ccb275c-9e32-46d9-84c0-28a994542c0f","on","federated","as_needed","provincial","2021-01-27T15:54:00.886963","2021-01-28T16:48:02.407669","dataset"
"265","2cda633e-433d-472b-a454-8366d3eee743","on","federated","P1Y","provincial","2021-01-27T15:54:08.159655","2021-01-28T16:48:04.459176","dataset"
"266","2d25dbf3-c0b0-45b0-bddb-571cdad5b474","statcan","primary","P1Y","federal","2021-03-29T12:42:20.559035","2021-03-29T12:42:20.559043","dataset"
"267","2d2c39a7-9318-4db1-8555-a5d105e48619","on","federated","P1Y","provincial","2021-01-27T15:54:15.204589","2021-01-28T16:48:07.158302","dataset"
"268","2d2c67f6-7e19-42d8-b9df-1997b5fc047e","statcan","primary","P1Y","federal","2020-06-16T12:41:28.819803","2021-03-04T13:39:09.894458","dataset"
"269","2d2e3b75-f0da-4745-983f-ea86ad7a27fa","statcan","primary","as_needed","federal","2021-01-26T13:44:13.660677","2021-01-27T13:41:33.925312","dataset"
